BP;Wilaya;Code CNRC;Cle de periode;total tva mensuelle;total tva annuelle
2000000147;DIW Alger est;607047;122;4381489516.0;62241051125.0
2000000147;DIW Alger est;607047;122;4381489516.0;62241051125.0
2000000147;DIW Alger est;607047;222;4710011316.0;62241051125.0
2000000147;DIW Alger est;607047;322;5358351122.0;62241051125.0
2000000147;DIW Alger est;607047;422;4811742122.0;62241051125.0
2000000147;DIW Alger est;607047;522;4835181841.0;62241051125.0
2000000147;DIW Alger est;607047;622;4467202584.0;62241051125.0
2000000147;DIW Alger est;607047;722;3692316516.0;62241051125.0
2000000147;DIW Alger est;607047;822;3713032545.0;62241051125.0
2000000147;DIW Alger est;607047;922;5274393870.0;62241051125.0
2000000147;DIW Alger est;607047;1022;6056911362.0;62241051125.0
2000000147;DIW Alger est;607047;1122;4706918997.0;62241051125.0
2000000147;DIW Alger est;607047;1222;5852009818.0;62241051125.0
2000000200;DIW Alger est;608001;122;644181.0;93115698.0
2000000200;DIW Alger est;608001;222;1478702.0;93115698.0
2000000200;DIW Alger est;608001;322;2304256.0;93115698.0
2000000200;DIW Alger est;608001;422;1226741.0;93115698.0
2000000200;DIW Alger est;608001;522;21477612.0;93115698.0
2000000200;DIW Alger est;608001;622;33439223.000000004;93115698.0
2000000200;DIW Alger est;608001;722;9184847.0;93115698.0
2000000200;DIW Alger est;608001;822;4261077.0;93115698.0
2000000200;DIW Alger est;608001;922;3033041.0;93115698.0
2000000200;DIW Alger est;608001;1022;4966790.0;93115698.0
2000000200;DIW Alger est;608001;1122;5425418.0;93115698.0
2000000200;DIW Alger est;608001;1222;5673810.0;93115698.0
2000001634;DIW Alger est;104207;122;167736083.0;7929428229.0
2000001634;DIW Alger est;104207;122;167736083.0;7929428229.0
2000001634;DIW Alger est;104207;222;142359409.0;7929428229.0
2000001634;DIW Alger est;104207;322;222520431.0;7929428229.0
2000001634;DIW Alger est;104207;422;48428182.0;7929428229.0
2000001634;DIW Alger est;104207;522;370926600.0;7929428229.0
2000001634;DIW Alger est;104207;622;1352473512.0;7929428229.0
2000001634;DIW Alger est;104207;722;242676931.0;7929428229.0
2000001634;DIW Alger est;104207;822;1239573691.0;7929428229.0
2000001634;DIW Alger est;104207;922;268800405.0;7929428229.0
2000001634;DIW Alger est;104207;1022;1143865092.0;7929428229.0
2000001634;DIW Alger est;104207;1122;1146834244.0;7929428229.0
