BP;Site;Wilaya;Code CNRC;Désignation CNRC;Code ONS;Désignation ONS;Andi;Ansej;Angem;Cnac;Opérations Intragroupe;Exportation ;Opérations de production de biens sans réfaction / Autres ; Activité de production de biens _Base Imposable (10%); Activité de production de biens  _Montant a payer (10%); Activité de production de biens  _Base Imposable(19%); Activité de production de biens  _Montant a payer (19%); Activités de bâtiment,de travaux publics et d´hydraulique ainsi que les activités touristiques et thermales à la l'exclusion des _Base Imposable (23%); Activités de bâtiment,de travaux publics et d´hydraulique ainsi que les activités touristiques et thermales à la l'exclusion des _Montant a payer(23%);Les activités de commerce et des services _Base Imposable(26%); Les activités de commerce et des services_Montant a payer(26%); Minimun d´imposition;Chiffre dàffaires net des Rabais, remises, ristounes;Solde clients;Provisions clients;Provisions Stocks;Stocks;Capitaux propres;Résultat net comptable de l’exercise;Dividendes distribués;Chiffre d’affaire (C.A);Résultat opérationnel;Sous-traitance générale;Consommations de l’exercice;Autres consommations;Autres services;Eléments extraordinaires (Charges);Résultat ordinaire;Produits financiers;Immobilisations financières;Perte Comptable;Résultat fiscal;Charges de personnel;Rémunérations dirigeants;Montant exonéré;Total ERA
2000045333;Direction des Grandes entreprises;DIW Alger centre;615051;agence nationale de gestion intégrée des ressources en eau « agire »;/;/;-;-;-;-;-;-;-;0;0;0;0;0;0;633 950 628,00;164 827 163,28;0;0;104 404 138,00;98 563 393,00;0;12 309 664,00;2 623 342 850,00;366 422 766,00;0;79 528 342,00;439 212 866,00;31 470 023,00;183 662 744,00;5 922 593,00;16 083 884,00;0;528 518 699,00;89 305 833,00;61 854 833,00;0;623 445 895,00;778 706 945,00;0;0;6 042 755 468,00
2000047081;Direction des Grandes entreprises;DIW Alger centre;615031;pépinière d'entreprises-incubateur;8414;Administration publique (tutelle) des activités économiques;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0
2000047082;Direction des Grandes entreprises;DIW Alger centre;615031;pépinière d'entreprises-incubateur;8414;Administration publique (tutelle) des activités économiques;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-;0
2000044642;Direction des Grandes entreprises;DIW Alger centre;615012;caisse nationale de logement (cnl);/;/;-;-;-;-;-;-;-;0;0;0;0;0;0;867 242 383,00;225 483 019,58;0;3 168 137 509,00;1 539 259 776,00;0;0;25 063 732,00;36 723 384 603,00;957 613 844,00;0;3 168 137 509,00;486 240 037,00;0;271 498 519,00;19 329 759,00;74 914 032,00;0;1 133 767 985,00;755 833 333,00;0;0;867 242 383,00;2 560 416 837,00;0;0;51 750 839 858,00
2000046465;Direction des Grandes entreprises;DIW Alger centre;613203;installation, réparation et entretien des ascenseurs et autres appareils similaires.;4329;Autres travaux d'installation n.c.a.;X;-;-;-;-;-;-;0;0;0;0;0;0;0;0;10 000,00;40 846 390,00;32 239 760,00;0;0;0;-12 497 177 532,00;-3 410 710 746,00;0;8 786 629,00;-4 324 699 832,00;27 865 018,00;38 341 094,00;229 305,00;23 238 531,00;0;-4 346 343 951,00;0;3 624 297 220,00;3 410 710 746,00;-10 598 815 932,00;25 426 671,00;0;0;-27 945 766 629,00
2000046608;Direction des Grandes entreprises;DIW Alger centre;613203;installation, réparation et entretien des ascenseurs et autres appareils similaires.;4329;Autres travaux d'installation n.c.a.;-;-;-;-;-;-;X;0;0;0;0;0;0;0;0;10 000,00;38 049 792,00;241 646 960,00;0;0;0;-10 686 588 031,00;-1 489 208 260,00;0;32 342 323,00;-294 850 470,00;0;93 087 775,00;9 131 782,00;36 196 757,00;0;-308 663 614,00;0;222 793 005,00;1 489 208 260,00;-875 669 439,00;20 782 996,00;0;0;-11 471 740 164,00
2000046471;Direction des Grandes entreprises;DIW Alger est;613203;installation, réparation et entretien des ascenseurs et autres appareils similaires.;4329;Autres travaux d'installation n.c.a.;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;10 000,00;0;497 948 044,00;0;0;0;-6 232 303 583,00;-144 425 718,00;0;0;-144 624 164,00;74 869 017,00;135 537 424,00;16 251 535,00;2 149 200,00;0;-144 624 164,00;0;1 291 814,00;144 425 718,00;-878 981 031,00;8 336 887,00;0;0;-6 664 149 021,00
2000046477;Direction des Grandes entreprises;DIW Alger ouest;613203;installation, réparation et entretien des ascenseurs et autres appareils similaires.;4329;Autres travaux d'installation n.c.a.;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;10 000,00;21 115 431,00;39 802 024,00;0;0;0;-4 945 818 393,00;-179 354 761,00;0;21 115 431,00;-179 354 761,00;33 286 723,00;100 243 811,00;8 363 523,00;3 655 083,00;0;-179 354 761,00;0;0;179 354 761,00;-1 208 840 616,00;91 723 629,00;0;0;-6 194 062 876,00
2000045912;Direction des Grandes entreprises;DIW Alger ouest;613203;installation, réparation et entretien des ascenseurs et autres appareils similaires.;4329;Autres travaux d'installation n.c.a.;-;-;-;-;-;-;-;0;0;0;0;0;0;0;0;10 000,00;169 353 015,00;349 434 094,00;0;0;0;-1 872 280 027,00;-249 228 034,00;0;169 353 015,00;-383 396 430,00;325 910,00;139 620 820,00;85 503 518,00;29 250 144,00;277 999,00;-277 999,00;182 143 550,00;0;0;-222 844 196,00;78 505 441,00;0;0;-1 524 259 180,00
2000046259;Direction des Grandes entreprises;DIW Alger centre;613203;installation, réparation et entretien des ascenseurs et autres appareils similaires.;4329;Autres travaux d'installation n.c.a.;X;-;-;-;X;-;-;0;0;0;0;0;0;0;0;10 000,00;0;22 124 191,00;0;0;0;57 127 174,00;19 835 544,00;0;0;32 805 453,00;0;0;0;0;0;32 763 179,00;0;0;0;-1 308 065 828,00;0;0;0;-1 143 410 287,00
